,d2v_DBOW,d2v_DM,tfidf_1g,tfidf_1g2g,tfidf_1g2g3g,tfidf_2g,tfidf_3g,w2v_CBOW,w2v_SG
GaussianNB,[0.681875 0.680225 0.67905  0.678675],[0.59775  0.594375 0.593225 0.59315 ],[0.700175 0.702675 0.7017   0.70345 ],[0.7149  0.72025 0.718   0.71485],[0.71355  0.718175 0.716775 0.713975],[0.62535  0.622175 0.620875 0.61925 ],[0.537775 0.53745  0.53785  0.53755 ],[0.674275 0.678125 0.671925 0.672325],[0.66685  0.666    0.663825 0.666575]
LR-L1-0.1,[0.71525  0.71545  0.711425 0.712875],[0.705375 0.708125 0.70365  0.704175],[0.7446   0.748125 0.74275  0.7455  ],[0.74665  0.75045  0.745175 0.748125],[0.746575 0.750375 0.74575  0.747925],[0.58915  0.58795  0.58695  0.586475],[0.5112   0.510975 0.51045  0.510775],[0.73375  0.738775 0.73075  0.73285 ],[0.73045  0.736525 0.72995  0.732075]
LR-L1-0.3,[0.715525 0.71595  0.7113   0.71335 ],[0.7054   0.70755  0.703275 0.704075],[0.761875 0.767325 0.761375 0.76125 ],[0.7641   0.768375 0.763525 0.7624  ],[0.764025 0.768425 0.763575 0.762375],[0.62355  0.623575 0.61955  0.620075],[0.52175  0.521825 0.520975 0.5212  ],[0.734675 0.739675 0.731175 0.7338  ],[0.73135  0.7368   0.729825 0.7327  ]
LR-L1-0.6,[0.715725 0.71615  0.71105  0.713075],[0.7055   0.70765  0.703225 0.704075],[0.76545  0.7696   0.76475  0.762925],[0.7661   0.770275 0.7671   0.7639  ],[0.766075 0.7707   0.76695  0.764525],[0.630575 0.63065  0.627425 0.627075],[0.53195  0.530175 0.53035  0.530875],[0.7348   0.739525 0.73135  0.733975],[0.731425 0.73705  0.7299   0.732525]
LR-L1-1.0,[0.71555  0.716075 0.711    0.71315 ],[0.705425 0.707725 0.70285  0.70415 ],[0.7652   0.7687   0.764625 0.76235 ],[0.765375 0.770225 0.76665  0.763475],[0.76505  0.770075 0.766675 0.76375 ],[0.6324   0.632025 0.62955  0.6283  ],[0.536825 0.5354   0.5366   0.5359  ],[0.734825 0.739225 0.73155  0.7342  ],[0.731575 0.73725  0.73005  0.732425]
LR-L2-0.1,[0.71575  0.71575  0.7114   0.713125],[0.7055   0.707975 0.70415  0.704275],[0.7609  0.76325 0.7574  0.7566 ],[0.76305  0.764925 0.75945  0.757775],[0.763    0.764825 0.759425 0.757625],[0.6336   0.631675 0.630225 0.6272  ],[0.53985  0.539475 0.540425 0.53895 ],[0.733575 0.738725 0.730925 0.733   ],[0.731075 0.737225 0.728925 0.73195 ]
LR-L2-0.3,[0.71545  0.716075 0.7109   0.7131  ],[0.70505  0.7078   0.703025 0.70385 ],[0.763925 0.76755  0.7624   0.76045 ],[0.766625 0.76915  0.764925 0.76235 ],[0.766125 0.76885  0.7649   0.762325],[0.6341  0.6319  0.63105 0.62885],[0.540125 0.5397   0.5407   0.53915 ],[0.734925 0.7388   0.731125 0.733525],[0.7314   0.737275 0.72985  0.7323  ]
LR-L2-0.6,[0.715475 0.71595  0.71105  0.71315 ],[0.705275 0.7076   0.70285  0.703875],[0.764325 0.766875 0.763175 0.76205 ],[0.7658   0.76905  0.766075 0.76215 ],[0.765775 0.769175 0.76605  0.7622  ],[0.6345   0.631725 0.630975 0.629425],[0.54035  0.539875 0.540725 0.539275],[0.73445  0.73895  0.731175 0.733775],[0.7313   0.737325 0.72965  0.7326  ]
LR-L2-1.0,[0.715425 0.716025 0.71115  0.713175],[0.705225 0.707575 0.702775 0.703825],[0.764   0.7677  0.7631  0.76105],[0.765775 0.768825 0.765925 0.761875],[0.765875 0.769125 0.76625  0.762225],[0.63435  0.63195  0.631025 0.629075],[0.540325 0.539825 0.540775 0.5393  ],[0.734675 0.7387   0.73145  0.733825],[0.731675 0.7376   0.729675 0.73255 ]
LR-eNet-0.1,[0.7155   0.71555  0.711675 0.7134  ],[0.70535  0.70815  0.703825 0.7043  ],[0.75405  0.7574   0.751025 0.752375],[0.755825 0.759275 0.75475  0.753275],[0.75585  0.75925  0.75505  0.753275],[0.612075 0.611875 0.6088   0.609075],[0.51715  0.516775 0.51655  0.516475],[0.733625 0.738575 0.73115  0.733025],[0.7316  0.73675 0.7303  0.73205]
