,Number of Limited Features,tf-idf,chi2,mutual info
0,10000,0.7737499999999999,0.77048125,0.77288125
1,20000,0.77448125,0.7717687499999999,0.7739750000000001
2,30000,0.7746187499999999,0.7719812500000001,0.7739
3,40000,0.774475,0.7719374999999999,0.7739499999999999
4,50000,0.77425,0.7722312499999999,0.77389375
5,60000,0.7740562500000001,0.77268125,0.77390625
6,70000,0.77394375,0.7734062500000001,0.77389375
7,80000,0.7741125,0.773775,0.77389375
8,90000,0.7739375000000001,0.7738999999999999,0.7739
9,100000,0.7736874999999999,0.7738,0.7739125
